기록자 정보,,,,,,,,지하철 현황,,탑승자 정보,,,,,,,,,
08/05,9:20,현미,6,불광,합정,7,,E,X,비었음,7,,,,,,,,
08/05,9:30,현미,6,합정,공덕,4,,E,X,남,,청년,X,X,X,핸드폰,,크로스백,
08/05,18:35,미현,5,공덕,신길,4,8,F,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/05,18:35,미현,5,공덕,신길,4,,F,X,여,,청년,X,X,X,핸드폰,,"크로스백, 미니 쇼핑백",
08/05,18:48,미현,1,신길,수원,17,,N,X,여,,청년,O,O,X,핸드폰,,크로스백,
08/05,18:48,미현,1,신길,영등포,1,,N,X,비었음,1,,,,,,,,
08/05,18:51,미현,1,신길,수원,17,34,N,X,여,,청년,X,X,O,핸드폰,,쇼퍼백,
08/05,8:53,보민,6,화랑대,돌곶이,3,,N,X,비었음,3,,,,,,,,
08/05,8:53,보민,6,화랑대,상월곡,4,,N,X,비었음,4,,,,,,,,
08/05,9:18,보민,6,한강진,삼각지,3,,N,O,비었음,3,,,,,,,,
08/05,8:55,보민,6,화랑대,공덕,20,,N,X,여,,청년,O,O,X,,,,
08/05,8:55,보민,6,화랑대,공덕,20,,N,X,여,,노년,X,X,X,,,"썬캡, 힙쌕",
08/05,8:58,보민,6,화랑대,공덕,20,,F,X,여,,청년,X,X,O,핸드폰,,백팩,
08/05,8:58,보민,6,화랑대,공덕,20,40,N,X,여,,청년,X,X,X,이어폰,옆자리가 나자 옮겨 앉음,토드백,
08/05,18:45,보민,11,공덕,회기,10,20,F,X,여,,중년,X,X,X,핸드폰,,,
08/05,18:45,보민,11,공덕,회기,10,,F,X,여,,중년,X,X,X,핸드폰,,,
08/05,18:50,보민,11,공덕,회기,10,,F,X,여,,중년,X,X,X,"핸드폰, 이어폰, 잠",,,
08/05,20:44,한솔,5,공덕,신길,4,8,N,O,여,,중년,X,X,X,핸드폰,,,
08/05,20:45,한솔,5,공덕,신길,4,,N,O,비었음,4,,,,,,,,
08/05,20:49,한솔,5,여의나루,신길,2,,N,O,비었음,2,,,,,,,,
08/05,21:02,한솔,1,신길,구로,3,,N,O,비었음,3,,,,,,,,
08/05,21:02,한솔,1,신길,독산,5,,N,O,비었음,5,,,,,,,,
08/05,21:10,한솔,1,신길,병점,19,38,N,O,여,,청년,X,X,O,핸드폰,,노말 쇼핑백,
08/05,21:16,한솔,1,신길,병점,19,,N,O,여,,중년,X,X,O,멍,,쇼핑백,
08/05,21:18,한솔,1,금천구청,병점,13,,N,O,비었음,13,,,,,,,,
08/05,21:41,한솔,1,의왕,병점,5,,N,O,비었음,5,,,,,,,,
08/05,20:58,현미,6,공덕,불광,13,26,E,O,비었음,13,,,,,,,,
08/05,20:59,현미,6,공덕,디엠씨,6,,E,O,비었음,6,,,,,,,,
08/05,21:10,현미,6,디엠씨,불광,5,,N,O,남,,청년,X,X,X,멍,,,
08/05,21:06,재민,5,공덕,왕십리,11,,E,O,비었음,11,,,,,,,,
08/05,21:06,재민,5,공덕,왕십리,11,,E,O,비었음,11,,,,,,,,
08/05,21:31,재민,10,왕십리,야탑,16,32,E,O,비었음,16,,,,,,,,
08/05,21:31,재민,10,왕십리,서울숲,1,,E,O,비었음,1,,,,,,,,
08/05,21:37,재민,10,서울숲,강남구청,2,,E,O,여,,청년,X,O,X,핸드폰,,,
08/05,21:41,재민,10,강남구청,야탑,13,,E,O,비었음,13,,,,,,,,
08/05,8:36,단비,7,신중동,온수,4,8,F,X,여,,청년,X,X,O,핸드폰,,에코백,
08/05,8:36,단비,7,신중동,온수,4,,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/05,8:46,단비,1,온수,신길,7,14,N,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/05,8:46,단비,1,온수,신길,7,,N,X,남,,노년,X,X,X,멍,자꾸 두리번 거리심...,봉지(중),
08/05,8:51,단비,1,개봉,구로,2,,N,X,비었음,2,,,,,,,,
08/05,8:57,단비,1,온수,신길,7,,N,X,여,,중년,X,X,X,핸드폰,,,
08/05,9:03,단비,1,온수,신길,7,,N,X,여,,중년,X,X,O,잠,,메신저백,
08/05,9:10,단비,5,신길,공덕,4,8,E,X,비었음,4,,,,,,,,
08/05,9:10,단비,5,신길,공덕,4,,E,X,여,,청년,X,X,X,잠,,크로스백,
08/05,9:17,단비,5,마포,공덕,1,,E,X,비었음,1,,,,,,,,
08/05,18:40,단비,5,공덕,신길,4,8,F,X,여,,청년,X,X,X,잠,,크로스백,
08/05,18:40,단비,5,공덕,신길,4,,F,X,남,,청년,X,X,O,핸드폰,,백팩,
08/05,18:56,단비,1,신길,부천,10,20,F,X,여,,청년,X,X,X,핸드폰,,"크로스백, 봉지(소)",
08/05,18:56,단비,1,신길,부천,10,,F,X,여,,중년,X,X,O,잠,,메신저백,
08/05,19:11,단비,1,역곡,부천,2,,F,X,여,,청년,X,X,X,핸드폰,,클러치,
08/05,19:11,단비,1,역곡,부천,2,,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/07,8:18,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/07,8:18,한솔,1,병점,금정,8,,F,O,비었음,8,,,,,,,,
08/07,8:23,미현,1,수원,신길,17,34,F,X,남,,중년,X,X,O,"핸드폰, 이어폰",,"우산, 노트북 가방",
08/07,8:23,미현,1,수원,신길,17,,F,X,여,,노년,X,X,X,대화,옆에 남편으로 추정되는 분과 대화중,,
08/07,8:29,한솔,1,병점,신길,19,38,N,O,여,,중년,X,X,X,핸드폰,,,
08/07,8:44,한솔,1,병점,신길,19,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/07,8:46,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,잠,,작은 크기의 백팩,
08/07,8:57,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,핸드폰,,"크로스백, 우산",
08/07,9:07,미현,5,신길,공덕,4,8,F,X,비었음,4,,,,,,,,
08/07,9:08,한솔,1,병점,신길,19,,F,O,여,,청년,O,O,X,"이어폰, 잠",,,
08/07,9:07,미현,5,신길,공덕,4,,F,X,여,,중년,X,X,O,핸드폰,,백팩,
08/07,9:10,미현,5,신길,공덕,4,,F,X,여,,중년,X,X,X,잠,,핸드백,
08/07,9:16,보민,6,화랑대,공덕,20,40,N,X,여,,청년,X,O,O,핸드폰,,"에코백, 장우산",
08/07,9:16,보민,6,화랑대,공덕,20,,N,X,여,,노년,X,X,O,멍,,보스턴백,
08/07,9:19,한솔,1,병점,신길,19,,F,O,여,,노년,X,X,O,멍,,"페인트통, 우산, 핸드백",
08/07,9:26,한솔,5,신길,공덕,4,8,F,X,여,,중년,X,X,X,"이어폰, 핸드폰",,,
08/07,9:32,보민,6,화랑대,공덕,20,,F,X,여,,중년,X,X,X,멍,한정거장 가서 바로 내림,,
08/07,9:34,보민,6,동묘앞,약수,3,,E,O,비었음,3,,,,,,,,
08/07,9:34,보민,6,동묘앞,공덕,10,,E,O,비었음,10,,,,,,,,
08/07,9:39,보민,6,화랑대,공덕,20,,E,O,여,,중년,X,X,X,미어캣,반대줄에 자리가 나자 옮겨앉음,"손가방, 물",
08/07,9:42,보민,6,한강진,공덕,5,,N,O,비었음,5,,,,,,,,
08/07,8:36,재민,10,야탑,왕십리,16,32,F,X,여,,청년,X,X,X,잠,,,
08/07,8:36,재민,10,야탑,왕십리,16,,F,X,여,,노년,X,X,X,잠,,,
08/07,8:52,재민,10,야탑,왕십리,16,,F,X,여,,중년,X,X,X,핸드폰,,,
08/07,9:06,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/07,9:23,재민,5,왕십리,공덕,11,22,N,X,여,,청년,X,X,X,핸드폰,,,
08/07,9:23,재민,5,왕십리,공덕,11,,N,X,여,,청년,X,X,X,잠,,,
08/07,9:28,재민,5,왕십리,공덕,11,,N,X,여,,중년,X,X,X,핸드폰,,,
08/07,9:42,재민,5,왕십리,공덕,11,,N,X,여,,중년,X,X,X,핸드폰,,,
08/07,9:43,재민,5,애오개,공덕,1,,N,X,비었음,1,,,,,,,,
08/07,18:55,한솔,1,신길,병점,19,38,F,X,여,,중년,X,X,X,대화,,,
08/07,18:55,한솔,1,신길,병점,19,,F,X,여,,중년,X,X,X,"이어폰, 핸드폰",,,
08/07,19:34,한솔,1,당정,병점,6,,N,O,비었음,6,,,,,,,,
08/07,19:38,한솔,1,의왕,병점,5,,N,O,비었음,5,,,,,,,,
08/07,18:28,현미,6,공덕,합정,4,8,E,O,비었음,4,,,,,,,,
08/07,18:29,현미,6,공덕,합정,4,,E,O,비었음,4,,,,,,,,
08/07,18:34,현미,6,상수,합정,1,,N,O,남,,중년,X,X,X,핸드폰,,,
08/07,20:19,미현,5,공덕,신길,4,,N,O,여,,청년,X,X,X,핸드폰,,잠,
08/07,20:19,미현,5,공덕,신길,4,8,N,O,비었음,4,,,,,,,,
08/07,20:33,미현,1,신길,수원,17,34,N,O,남,,중년,X,X,O,멍,,노트북 가방,
08/07,20:33,미현,1,신길,영등포,1,,N,O,비었음,1,,,,,,,,
08/07,20:36,미현,1,신길,수원,17,,N,O,남,,노년,X,X,X,멍,,,
08/07,20:47,미현,1,가산디지털단지,금정,7,,F,X,비었음,7,,,,,,한 청년이 임산부석 앞에 서 있음,,
08/07,21:09,미현,1,신길,수원,17,,N,X,여,,중년,X,X,O,멍,,큰 사이즈의 가방 세 개,
08/07,21:09,미현,1,신길,수원,17,,N,X,남,,청년,X,X,X,핸드폰,외국인,,
08/07,21:17,미현,1,의왕,수원,3,,E,O,비었음,3,,,,,,,,
08/07,21:12,현미,6,합정,디엠씨,4,,F,O,남,,청년,X,X,X,핸드폰,,,
08/07,21:13,현미,6,합정,디엠씨,4,,F,O,여,,중년,X,X,X,멍,,,
08/07,21:24,현미,6,디엠씨,불광,5,,N,O,비었음,5,,,,,,,,
08/07,21:26,현미,6,디엠씨,불광,5,10,N,O,비었음,5,,,,,,,,
08/07,21:04,보민,6,공덕,약수,7,,E,O,비었음,7,,,,,,,,
08/07,21:04,보민,6,공덕,효창공원,1,,E,O,비었음,1,,,,,,,,
08/07,21:04,보민,6,공덕,화랑대,20,40,N,O,남,,청년,X,X,X,"이어폰, 핸드폰",,가벼운 백팩,
08/07,21:15,보민,6,공덕,화랑대,20,,N,O,여,,청년,X,X,X,핸드폰,옆자리 나자 옮겨앉음,"크로스백, 우산",
08/07,21:15,보민,6,공덕,화랑대,20,,N,O,여,,청년,X,X,O,핸드폰,반대편 라인 자리나자 옮겨앉음,"핸드백, 시장바구니",
08/07,21:55,보민,6,창신,화랑대,9,,N,X,비었음,9,,,,,,,,
08/07,21:35,보민,6,석계,화랑대,2,,E,O,비었음,2,,,,,,,,
08/07,21:19,재민,5,공덕,왕십리,11,22,E,O,남,,청년,X,X,X,핸드폰,7석 중 5석이 비어있는 와중에 임산부석 옆자리에 앉아있던 남자가 임산부석으로 옮김,,
08/07,21:19,재민,5,공덕,종로3가,5,,E,O,비었음,5,,,,,,,,
08/07,21:28,재민,5,공덕,왕십리,11,,N,X,남,,중년,X,X,X,핸드폰,,,
08/07,21:46,재민,10,왕십리,야탑,16,32,E,O,여,,중년,X,X,O,핸드폰 -> 독서,,"백팩, 핸드백",
08/07,21:46,재민,10,왕십리,선릉,5,,E,O,비었음,5,,,,,,,,
08/07,21:59,재민,10,왕십리,야탑,16,,F,X,여,,청년,X,X,X,"핸드폰, 이어폰",,,
08/07,8:48,단비,1,온수,신길,7,14,F,X,남,,청년,X,X,O,잠,,메신저백,
08/07,8:48,단비,1,온수,신길,7,,F,X,남,,중년,X,X,X,대화,목발을 짚고 계심,크로스백,
08/07,9:03,단비,1,온수,신길,7,,F,X,남,,중년,X,X,O,핸드폰,,백팩,
08/07,9:10,단비,5,신길,공덕,4,8,N,O,여,,청년,X,X,O,핸드폰,,보스턴백,
08/07,9:10,단비,5,신길,공덕,4,,N,O,여,,청년,X,X,X,핸드폰,,"크로스백, 봉지(미니)",
08/07,18:56,단비,5,공덕,신길,4,,F,X,여,,청년,X,X,O,핸드폰,,보스턴백,
08/07,18:56,단비,5,공덕,신길,4,,F,X,여,,청년,X,X,O,핸드폰,,보스턴백,
08/07,19:12,단비,1,신길,온수,7,14,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/07,19:12,단비,1,신길,온수,7,,F,X,남,,중년,X,X,X,핸드폰,,,
08/07,19:17,단비,1,신길,온수,7,,F,X,여,,청년,O,O,X,전화,,크로스백,
08/07,19:28,단비,1,오류동,온수,1,,F,X,비었음,1,,,,,,,,
08/07,19:34,단비,7,온수,신중동,4,8,F,X,여,,청년,X,X,O,핸드폰,,보스턴백,
08/07,19:34,단비,7,온수,신중동,4,,F,X,비었음,4,,,,,,,,
08/08,8:15,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/08,8:15,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/08,8:28,한솔,1,병점,신길,19,38,N,O,남,,중년,X,X,O,"핸드폰, 이어폰",,노트북 가방,
08/08,8:28,한솔,1,병점,신길,19,,N,O,남,,청년,X,X,O,핸드폰,,백팩,
08/08,8:38,미현,1,수원,신길,17,34,N,O,남,,중년,X,X,O,핸드폰,,노트북 가방,
08/08,8:38,미현,1,수원,신길,17,,N,O,여,,중년,X,X,X,핸드폰,,웨이스트백,
08/08,8:46,한솔,1,병점,신길,19,,N,O,남,,청년,X,X,X,핸드폰,,,
08/08,8:52,미현,1,수원,신길,17,,N,X,여,,중년,X,X,O,멍,,"양산, 에코백",
08/08,8:52,보민,6,화랑대,공덕,20,40,N,O,여,,노년,X,X,X,미어캣,노약좌석 양쪽 칸은 차 있고 혼자 앉아있는 할배 있음,가벼운 백팩,
08/08,8:52,보민,6,화랑대,공덕,20,,N,O,여,,청년,X,X,X,전화,,토드백,
08/08,8:56,미현,1,수원,신길,17,,F,X,여,,중년,X,X,X,핸드폰,,크로스백,
08/08,9:04,미현,1,수원,신길,17,,F,X,여,,중년,X,X,O,핸드폰,,백팩,
08/08,9:10,보민,6,화랑대,공덕,20,,N,X,여,,청년,X,X,X,잠,,토드백,
08/08,9:11,보민,6,화랑대,공덕,20,,N,X,여,,중년,X,X,X,멍,,손가방,
08/08,9:15,보민,6,화랑대,공덕,20,,N,O,여,,중년,X,X,O,잠,,보스턴백,
08/08,9:18,보민,6,한강진,삼각지,3,,N,O,비었음,3,,,,,,,,
08/08,9:19,한솔,1,병점,신길,19,,F,X,남,,중년,X,X,X,핸드폰,,,
08/08,9:25,보민,6,화랑대,공덕,20,,N,O,여,,청년,X,X,O,핸드폰,,보스턴백,
08/08,9:27,한솔,5,신길,공덕,4,8,F,X,여,,중년,X,X,O,핸드폰,,에코백,
08/08,9:28,한솔,5,신길,공덕,4,,F,X,남,,중년,X,X,X,"이어폰, 핸드폰",,,
08/08,9:28,한솔,5,여의도,공덕,3,,F,X,비었음,3,,,,,,,,
08/08,9:39,미현,5,신길,공덕,4,,F,X,비었음,4,,,,,,,,
08/08,9:39,미현,5,신길,마포,3,,F,X,비었음,3,,,,,,,,
08/08,9:45,미현,5,신길,공덕,4,8,F,X,남,,청소년,X,X,X,핸드폰,,,
08/08,8:35,재민,10,야탑,왕십리,16,32,F,X,여,,청년,X,X,X,이어폰,,,
08/08,8:35,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,X,먹기,,,
08/08,8:55,재민,10,야탑,왕십리,16,,F,X,여,,청년,X,X,X,"핸드폰, 손풍기쐬기",,,
08/08,9:01,재민,10,선릉,왕십리,5,,N,X,비었음,5,,,,,,,,
08/08,9:05,재민,10,강남구청,왕십리,3,,E,O,비었음,3,,,,,,,,
08/08,9:23,재민,5,왕십리,행당,1,,N,X,비었음,1,,,,,,,,
08/08,9:23,재민,5,왕십리,공덕,11,22,N,X,여,,청년,X,O,X,"핸드폰, 이어폰",,,
08/08,9:24,재민,5,왕십리,공덕,11,,N,X,여,,청년,X,X,O,멍,일반석 빈자리 생기니 옮김,백팩 2개,
08/08,9:29,재민,5,동대문역사문화공원,공덕,7,,N,X,비었음,7,,,,,,,,
08/08,9:38,재민,5,서대문,공덕,3,,E,O,비었음,3,,,,,,,,
08/08,9:10,현미,6,불광,월드컵경기장,7,,E,O,비었음,7,,,,,,,,
08/08,9:12,현미,6,불광,공덕,14,28,E,O,비었음,14,,,,,,,,
08/08,9:26,현미,6,합정,공덕,4,,E,O,남,,청년,X,X,X,핸드폰,,,
08/08,17:39,미현,5,공덕,신길,4,8,F,X,여,,노년,X,X,X,핸드폰,,,
08/08,17:40,보민,6,공덕,화랑대,20,40,N,O,여,,중년,X,X,O,핸드폰,,백팩,
08/08,17:40,보민,6,공덕,화랑대,20,,N,O,여,,중년,X,X,X,멍,,손가방,
08/08,17:39,미현,5,공덕,신길,4,,F,X,여,,중년,X,X,X,잠,,,
08/08,17:44,보민,6,삼각지,약수,5,,N,O,비었음,5,,,,,,,,
08/08,17:51,보민,6,약수,청구,1,,N,O,비었음,1,,,,,,,,
08/08,17:52,보민,6,공덕,화랑대,20,40,N,O,여,,청년,X,X,X,,갑자기 일어나서 열차칸 이동??? 내가 너무 빤히 봤나?,,
08/08,17:53,보민,6,공덕,화랑대,20,,N,O,여,,청년,O,O,O,핸드폰,,백팩,
08/08,17:55,미현,1,신길,수원,17,34,F,X,여,,청년,X,X,X,핸드폰,,크로스백,
08/08,17:55,미현,1,신길,수원,17,,F,X,남,,중년,X,X,X,잠,옆자리에 임산부 뱃지를 달고 계신 분이 앉아계심,,
08/05,17:57,보민,6,동묘앞,화랑대,7,14,F,X,비었음,7,,,,,,,,
08/08,18:09,미현,1,신길,수원,17,,F,X,남,,중년,X,X,X,멍,,,
08/08,18:26,미현,1,신길,수원,17,,F,X,여,,중년,X,X,X,핸드폰,,"미니 쇼핑백, 핸드백",
08/08,18:26,미현,1,신길,수원,17,,F,X,여,,청년,X,X,X,핸드폰,,,
08/08,18:34,미현,1,금정,수원,6,,F,X,비었음,6,,,,,,,,
08/08,8:39,단비,7,신중동,춘의,1,,N,O,비었음,1,,,,,,,,
08/08,8:39,단비,7,신중동,온수,4,8,N,O,여,,중년,X,X,X,핸드폰,,크로스백,
08/08,8:41,단비,7,신중동,온수,4,,N,O,남,,청년,X,X,O,잠,,에코백,
08/08,8:56,단비,1,온수,신길,7,14,N,X,남,,청년,X,X,O,잠,,백팩,
08/08,8:56,단비,1,온수,신길,7,,N,X,여,,중년,X,X,O,잠,,에코백,
08/08,9:05,단비,1,온수,신길,7,,N,X,여,,중년,X,X,O,잠,,에코백,
08/08,9:16,단비,5,신길,공덕,4,8,F,X,여,,노년,X,X,O,핸드폰,,보스턴백,
08/08,9:16,단비,5,신길,여의도,1,,F,X,비었음,1,,,,,,,,
08/08,9:18,단비,5,신길,공덕,4,,F,X,여,,중년,X,X,O,핸드폰,,백팩,
08/08,17:40,단비,5,공덕,신길,4,8,N,O,남,,중년,X,X,X,핸드폰,,,
08/08,17:40,단비,5,공덕,여의나루,2,,N,O,비었음,2,,,,,,,,
08/08,17:43,단비,5,공덕,신길,4,,N,O,여,,노년,X,X,X,대화,,크로스백,
08/08,17:46,단비,5,여의도,신길,1,,N,O,비었음,1,,,,,,,,
08/08,17:54,단비,1,신길,부천,10,20,N,X,여,,중년,X,X,X,대화,팔깁스 하고 계심,크로스백,
08/08,17:54,단비,1,신길,부천,10,,N,X,여,,중년,X,X,X,대화,,크로스백,
08/08,17:56,단비,1,신길,부천,10,,N,X,여,,중년,X,X,O,핸드폰,,백팩,
08/08,17:59,단비,1,신길,부천,10,,N,X,여,,노년,X,X,O,멍,,백팩,
08/08,17:39,재민,5,공덕,답십리,13,26,N,O,여,,중년,X,X,X,잠,,,
08/08,17:39,재민,5,공덕,답십리,13,,N,O,여,,노년,X,X,O,핸드폰,,구루마,
08/08,17:54,재민,5,공덕,답십리,13,,F,X,여,,청년,X,X,X,핸드폰,,,
08/08,18:08,재민,5,답십리,왕십리,2,,N,O,비었음,2,,,,,,,,
08/08,18:08,재민,5,답십리,왕십리,2,,N,O,여,,중년,X,X,O,멍,,"봉지(중)2개, 토트백(봉지(중)사이즈)",
08/08,18:21,재민,10,왕십리,야탑,16,32,F,X,여,,중년,X,X,X,핸드폰,,,
08/08,18:21,재민,10,왕십리,야탑,16,,F,X,여,,중년,X,X,X,핸드폰,,,
08/09,8:09,미현,1,수원,신길,17,34,N,O,남,,청년,X,X,O,멍,,쇼퍼백,
08/09,8:09,미현,1,수원,신길,17,,N,O,여,,중년,X,X,X,잠,,핸드백,
08/09,8:13,한솔,1,병점,세류,1,,E,O,비었음,1,,,,,,,,
08/09,8:13,한솔,1,병점,수원,2,,E,O,비었음,2,,,,,,,,
08/09,8:23,한솔,1,병점,신길,19,38,E,O,여,,청년,X,X,O,핸드폰,,"백팩, 에코백",
08/09,8:26,한솔,1,병점,신길,19,,N,O,남,,청년,X,X,O,"핸드폰, 이어폰",,백팩,
08/09,8:26,한솔,1,병점,신길,19,,N,O,남,,청년,X,X,O,"핸드폰, 이어폰",,노트북 가방,
08/09,8:28,미현,1,수원,신길,17,,N,O,남,,청년,X,X,X,핸드폰,,,
08/09,8:33,미현,1,수원,신길,17,,F,X,여,,청년,X,X,X,핸드폰,,핸드백,
08/09,8:37,미현,3,수원,신길,17,,F,X,여,,중년,X,X,X,핸드폰,,핸드백,
08/09,8:50,보민,6,화랑대,공덕,20,40,F,O,여,,중년,X,X,X,,1정거장 후 내림,,
